Compound.Name	DTXSID	Lab.Compound.Name	Clint.1.Med	Clint.1.Low	Clint.1.High	Clint.10.Med	Clint.10.Low	Clint.10.High	Clint.pValue	Sat.pValue	degrades.pValue
2H,2H,3H,3H-Perfluorooctanoic_Acid	DTXSID20874028	2H,2H,3H,3H-Perfluorooctanoic_Acid	19	14.5	21.4	NA	NA	NA	0	0.75	0.958
8:2_Fluoroteleomer_Sulfonic_Acid	DTXSID00192353	8:2_Fluoroteleomer_Sulfonic_Acid	11.1	6.47	14.3	NA	NA	NA	0.0142	0.751	0.983
3:3_Fluorotelomer_carboxylic_acid	DTXSID00379268	3:3_Fluorotelomer_carboxylic_acid	0	0	0	NA	NA	NA	0.988	0.75	0.00686
Potassium_perfluorooctanoate	DTXSID00880026	Potassium_perfluorooctanoate	0	0	14.2	NA	NA	NA	0.895	0.751	0.0979
N-Ethylperfluorooctanesulfonamide	DTXSID1032646	N-Ethylperfluorooctanesulfonamide	0	0	2.49	NA	NA	NA	0.965	0.747	0
Perfluoroheptanoic_acid	DTXSID1037303	Perfluoroheptanoic_acid	0	0	22.4	NA	NA	NA	0.504	0.75	0.117
N-Methylperfluorooctanesulfonamide	DTXSID1067629	N-Methylperfluorooctanesulfonamide	15.4	8.73	23.8	NA	NA	NA	0.00026	0.751	0
2-(Perfluorohexyl)ethylphosphonic_acid	DTXSID20179883	2-(Perfluorohexyl)ethylphosphonic_acid	0	0	0	NA	NA	NA	0.996	0.752	1
3,3-Bis(trifluoromethyl)-2-propenoic_acid	DTXSID30170109	3,3-Bis(trifluoromethyl)-2-propenoic_acid	8.8	0	13.4	NA	NA	NA	0.269	0.748	0.843
Perfluorodecanoic_acid	DTXSID3031860	Perfluorodecanoic_acid	0	0	0	NA	NA	NA	0.993	0.75	0
Perfluorohexanoic_acid	DTXSID3031862	Perfluorohexanoic_acid	0	0	1.84	NA	NA	NA	0.967	0.745	0
Perfluorooctanesulfonic_acid	DTXSID3031864	Perfluorooctanesulfonic_acid	1.23	0	12.2	NA	NA	NA	0.496	0.751	0.00046
Potassium_perfluorobutanesulfonate	DTXSID3037707	Potassium_perfluorobutanesulfonate	0	0	0	NA	NA	NA	0.989	0.751	0
Potassium_Pefluorohexanesulfate	DTXSID3037709	Potassium_Pefluorohexanesulfate	0.92	0	11.6	NA	NA	NA	0.498	0.751	0.992
